episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,300,0.98575,,300,2.5,9.3,0.0,300,uniform,nan,nan,nan,nan,nan,nan,nan,nan
2,600,0.9715,,300,12.5,8.9,0.0,600,uniform,nan,nan,nan,nan,nan,nan,nan,nan
3,900,0.95725,,300,10.9,5.7,0.0,900,uniform,nan,nan,nan,nan,nan,nan,nan,nan
4,1200,0.943,,300,11.7,8.1,3.5955,1200,uniform,nan,nan,nan,nan,nan,-2.826149,4.05433,4.663373
5,1500,0.92875,,300,2.9,9.9,1.777167,1500,uniform,nan,nan,nan,nan,nan,-0.724728,2.188104,3.130049
6,1800,0.9145,,300,9.7,8.5,1.350064,1800,uniform,nan,nan,nan,nan,nan,-0.273137,1.744376,2.526358
7,2100,0.90025,,300,6.7,5.9,1.954535,2100,uniform,nan,nan,nan,nan,nan,0.319563,2.368242,3.375356
8,2400,0.886,,300,5.5,12.9,2.568422,2400,uniform,nan,nan,nan,nan,nan,-0.109296,3.01466,3.961058
9,2700,0.87175,,300,10.3,4.7,2.240619,2700,uniform,nan,nan,nan,nan,nan,-0.256313,2.665451,3.673636
10,3000,0.8575,,300,12.7,12.1,2.147141,3000,uniform,nan,nan,nan,nan,nan,-0.269581,2.56658,3.584533
11,3300,0.84325,,300,19.7,12.3,0.672803,3300,uniform,nan,nan,nan,nan,nan,-0.28183,1.04489,1.533186
12,3600,0.829,,300,6.7,10.1,0.292384,3600,uniform,nan,nan,nan,nan,nan,-0.029323,0.611129,0.850913
13,3900,0.81475,,300,14.3,11.5,0.228717,3900,uniform,nan,nan,nan,nan,nan,-0.019116,0.525474,0.744491
14,4200,0.8005,,300,13.9,13.7,0.993442,4200,uniform,nan,nan,nan,nan,nan,0.661808,1.380849,1.808941
15,4500,0.78625,,300,10.9,7.5,0.74323,4500,uniform,nan,nan,nan,nan,nan,-0.062308,1.127333,1.577034
16,4800,0.772,,300,13.3,9.7,0.572469,4800,uniform,nan,nan,nan,nan,nan,-0.128953,0.929538,1.349759
17,5100,0.75775,,300,14.3,14.1,0.654606,5100,uniform,nan,nan,nan,nan,nan,-0.306554,1.008681,1.512794
18,5400,0.7435,,300,11.1,16.7,0.254707,5400,uniform,nan,nan,nan,nan,nan,-0.039102,0.559868,0.787391
19,5700,0.72925,,300,15.3,19.1,0.181313,5700,uniform,nan,nan,nan,nan,nan,-0.028078,0.455411,0.656374
20,6000,0.715,,300,16.3,11.7,0.143078,6000,uniform,nan,nan,nan,nan,nan,-0.023886,0.394452,0.588311
21,6300,0.70075,,300,20.3,17.1,0.656916,6300,uniform,nan,nan,nan,nan,nan,0.363051,1.031465,1.410689
22,6600,0.6865,,300,17.7,19.5,0.297535,6600,uniform,nan,nan,nan,nan,nan,-0.049601,0.603974,0.898504
23,6900,0.67225,,300,22.7,20.1,0.244925,6900,uniform,nan,nan,nan,nan,nan,-0.051393,0.528601,0.808204
24,7200,0.658,,300,28.1,25.7,0.406877,7200,uniform,nan,nan,nan,nan,nan,-0.226986,0.720045,1.144875
25,7500,0.64375,,300,22.5,20.7,0.15564,7500,uniform,nan,nan,nan,nan,nan,-0.019033,0.421616,0.593249
26,7800,0.6295,,300,21.9,25.7,0.122346,7800,uniform,nan,nan,nan,nan,nan,-0.019185,0.363884,0.529953
27,8100,0.61525,,300,21.7,16.1,0.337689,8100,uniform,nan,nan,nan,nan,nan,0.203494,0.618455,1.015719
28,8400,0.601,,300,17.3,17.7,0.212284,8400,uniform,nan,nan,nan,nan,nan,-0.006558,0.49692,0.727001
29,8700,0.58675,,300,22.1,22.7,0.157481,8700,uniform,nan,nan,nan,nan,nan,-0.020493,0.408316,0.630035
30,9000,0.5725,,300,24.3,22.1,0.136421,9000,uniform,nan,nan,nan,nan,nan,-0.028868,0.366096,0.59568
31,9300,0.55825,,300,25.9,20.5,0.297778,9300,uniform,nan,nan,nan,nan,nan,-0.178311,0.582088,0.956032
32,9600,0.544,,300,26.5,26.3,0.093943,9600,uniform,nan,nan,nan,nan,nan,-0.008215,0.316752,0.454814
33,9900,0.52975,,300,25.7,23.7,0.073238,9900,uniform,nan,nan,nan,nan,nan,-0.002524,0.274598,0.398465
34,10200,0.5155,,300,24.3,24.7,0.323878,10200,uniform,nan,nan,nan,nan,nan,0.19248,0.60881,0.968313
35,10444,0.50391,-1,244,23.18,131.18,0.13541,10444,uniform,nan,nan,nan,nan,nan,-0.004225,0.377213,0.563805
36,10665,0.493413,1,221,131.29,26.5,0.115441,10665,uniform,nan,nan,nan,nan,nan,-0.01441,0.338299,0.526694
37,10930,0.480825,1,265,131.07,28.68,0.114523,10930,uniform,nan,nan,nan,nan,nan,0.003615,0.320411,1.396669
38,11150,0.470375,-1,220,29.1,131.3,0.357368,11150,uniform,nan,nan,nan,nan,nan,-0.175408,0.629351,2.330149
39,11439,0.456648,1,289,130.95,26.36,0.111468,11439,uniform,nan,nan,nan,nan,nan,0.009938,0.330106,1.574378
40,11687,0.444867,-1,248,22.96,131.16,0.11283,11687,uniform,nan,nan,nan,nan,nan,0.038822,0.308687,2.191022
41,11964,0.43171,1,277,131.01,28.22,0.102905,11964,uniform,nan,nan,nan,nan,nan,0.038107,0.282304,2.215924
42,12202,0.420405,-1,238,26.81,131.21,0.365163,12202,uniform,nan,nan,nan,nan,nan,0.272093,0.651327,2.180174
43,12413,0.410382,1,211,131.34,19.55,0.140044,12413,uniform,nan,nan,nan,nan,nan,0.045614,0.358927,2.133304
44,12578,0.402545,1,165,131.57,24.38,0.162298,12578,uniform,nan,nan,nan,nan,nan,0.069365,0.366132,2.750037
45,12832,0.39048,-1,254,20.53,131.13,0.151751,12832,uniform,nan,nan,nan,nan,nan,0.073075,0.342001,2.825052
46,13132,0.37623,,300,27.7,27.9,0.297678,13132,uniform,nan,nan,nan,nan,nan,-0.075306,0.533277,2.890183
