episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,300,0.9905,,300,8.1,6.9,2.098052,300,uniform,nan,nan,nan,nan,nan,-1.527503,2.477325,3.585273
2,600,0.981,,300,7.5,9.3,1.012579,600,uniform,nan,nan,nan,nan,nan,-0.391588,1.331696,2.387767
3,900,0.9715,,300,8.3,7.1,0.879685,900,uniform,nan,nan,nan,nan,nan,-0.199405,1.200418,2.118801
4,1200,0.962,,300,9.9,8.3,2.091142,1200,uniform,nan,nan,nan,nan,nan,0.147683,2.502345,3.522501
5,1500,0.9525,,300,3.5,7.1,1.999283,1500,uniform,nan,nan,nan,nan,nan,-0.071933,2.398502,3.421058
6,1800,0.943,,300,6.7,5.9,1.799157,1800,uniform,nan,nan,nan,nan,nan,-0.081477,2.191276,3.237716
7,2100,0.9335,,300,5.9,8.5,1.43476,2100,uniform,nan,nan,nan,nan,nan,-0.190174,1.8312,2.714063
8,2400,0.924,,300,12.1,13.7,0.608595,2400,uniform,nan,nan,nan,nan,nan,-0.13036,0.973057,1.361184
9,2700,0.9145,,300,9.5,10.1,0.412035,2700,uniform,nan,nan,nan,nan,nan,-0.091517,0.723882,1.163821
10,3000,0.905,,300,9.3,17.7,0.307002,3000,uniform,nan,nan,nan,nan,nan,-0.055466,0.578638,0.999529
11,3300,0.8955,,300,14.1,14.1,0.481398,3300,uniform,nan,nan,nan,nan,nan,0.168148,0.842918,1.126334
12,3600,0.886,,300,12.7,3.7,0.292781,3600,uniform,nan,nan,nan,nan,nan,0.010567,0.604265,0.857637
13,3900,0.8765,,300,10.3,12.9,0.214502,3900,uniform,nan,nan,nan,nan,nan,-0.005948,0.488708,0.733586
14,4200,0.867,,300,10.7,8.1,0.275208,4200,uniform,nan,nan,nan,nan,nan,-0.132363,0.579369,0.808916
15,4500,0.8575,,300,12.7,13.1,0.126913,4500,uniform,nan,nan,nan,nan,nan,-0.024528,0.37895,0.523814
16,4800,0.848,,300,9.5,14.7,0.085781,4800,uniform,nan,nan,nan,nan,nan,-0.009544,0.298537,0.42843
17,5100,0.8385,,300,11.3,14.7,0.147219,5100,uniform,nan,nan,nan,nan,nan,0.091557,0.390602,0.567021
18,5400,0.829,,300,11.7,15.3,0.147927,5400,uniform,nan,nan,nan,nan,nan,0.049355,0.421154,0.560489
19,5700,0.8195,,300,13.9,10.5,0.091461,5700,uniform,nan,nan,nan,nan,nan,0.012388,0.311849,0.441551
20,6000,0.81,,300,13.9,8.5,0.064588,6000,uniform,nan,nan,nan,nan,nan,0.00459,0.248482,0.373348
21,6300,0.8005,,300,16.1,12.1,0.116006,6300,uniform,nan,nan,nan,nan,nan,-0.065734,0.353404,0.49858
22,6600,0.791,,300,15.1,14.3,0.051428,6600,uniform,nan,nan,nan,nan,nan,-0.008621,0.224168,0.3318
23,6900,0.7815,,300,16.5,14.5,0.037926,6900,uniform,nan,nan,nan,nan,nan,-0.00531,0.180867,0.286231
24,7200,0.772,,300,20.5,12.7,0.088126,7200,uniform,nan,nan,nan,nan,nan,0.050268,0.289559,0.434664
25,7500,0.7625,,300,19.3,19.5,0.054219,7500,uniform,nan,nan,nan,nan,nan,0.011519,0.227499,0.337858
26,7800,0.753,,300,14.9,17.7,0.038938,7800,uniform,nan,nan,nan,nan,nan,0.003797,0.181949,0.28664
27,8100,0.7435,,300,21.3,17.5,0.059064,8100,uniform,nan,nan,nan,nan,nan,-0.032939,0.223577,0.351114
28,8400,0.734,,300,17.3,16.5,0.043326,8400,uniform,nan,nan,nan,nan,nan,-0.013069,0.201551,0.306593
29,8700,0.7245,,300,13.5,16.7,0.029316,8700,uniform,nan,nan,nan,nan,nan,-0.007795,0.152793,0.258118
30,9000,0.715,,300,11.1,16.5,0.021646,9000,uniform,nan,nan,nan,nan,nan,-0.003426,0.124751,0.215345
31,9300,0.7055,,300,20.5,23.5,0.063403,9300,uniform,nan,nan,nan,nan,nan,0.039482,0.250754,0.362477
