replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,1,300,0.9905,,300,7.7,12.7,2.645555,300,,,,,,-2.213679,3.019536,4.180001
uniform,1,2,600,0.981,,300,7.9,11.5,0.957928,600,,,,,,-0.277608,1.260772,2.242478
uniform,1,3,900,0.9715,,300,7.7,3.7,1.02802,900,,,,,,-0.235096,1.356733,2.339142
uniform,1,4,1200,0.962,,300,4.3,6.1,2.234679,1200,,,,,,0.342073,2.641129,3.763062
uniform,1,5,1500,0.9525,,300,8.7,5.9,2.03819,1500,,,,,,0.18253,2.432922,3.568269
uniform,1,6,1800,0.943,,300,18.1,5.5,1.582247,1800,,,,,,-0.019007,1.95245,3.117213
uniform,1,7,2100,0.9335,,300,18.7,6.3,1.336913,2100,,,,,,-0.20463,1.712327,2.687238
uniform,1,8,2400,0.924,,300,11.1,7.9,0.604766,2400,,,,,,-0.116172,0.955612,1.396888
uniform,1,9,2700,0.9145,,300,10.5,11.9,0.389861,2700,,,,,,-0.0407,0.691366,1.08304
uniform,1,10,3000,0.905,,300,11.9,10.1,0.315016,3000,,,,,,-0.053933,0.590258,0.987957
uniform,1,11,3300,0.8955,,300,11.9,14.3,0.463461,3300,,,,,,0.18786,0.824263,1.092555
uniform,1,12,3600,0.886,,300,7.7,10.1,0.248183,3600,,,,,,0.014667,0.544634,0.78387
uniform,1,13,3900,0.8765,,300,12.5,9.9,0.184279,3900,,,,,,-0.00251,0.444202,0.673669
uniform,1,14,4200,0.867,,300,15.5,5.9,0.243403,4200,,,,,,-0.135575,0.538929,0.743071
uniform,1,15,4500,0.8575,,300,9.9,13.5,0.121005,4500,,,,,,-0.028168,0.369098,0.509446
uniform,1,16,4800,0.848,,300,11.1,15.3,0.086324,4800,,,,,,-0.014628,0.300822,0.432829
uniform,1,17,5100,0.8385,,300,18.9,11.5,0.134725,5100,,,,,,0.067601,0.378323,0.536223
uniform,1,18,5400,0.829,,300,8.9,10.3,0.126546,5400,,,,,,0.046013,0.386915,0.512764
uniform,1,19,5700,0.8195,,300,13.7,14.9,0.081508,5700,,,,,,0.014421,0.299279,0.410418
uniform,1,20,6000,0.81,,300,17.3,18.7,0.064655,6000,,,,,,0.004536,0.252612,0.370707
uniform,1,21,6300,0.8005,,300,16.1,11.7,0.102703,6300,,,,,,-0.062333,0.335578,0.461431
uniform,1,22,6600,0.791,,300,15.7,20.7,0.055229,6600,,,,,,-0.00904,0.231343,0.341558
uniform,1,23,6900,0.7815,,300,19.9,20.7,0.041878,6900,,,,,,-0.005817,0.192465,0.302915
uniform,1,24,7200,0.772,,300,17.5,14.9,0.076509,7200,,,,,,0.041895,0.278504,0.397001
uniform,1,25,7500,0.7625,,300,20.1,11.9,0.053372,7500,,,,,,0.012422,0.229823,0.335153
uniform,1,26,7800,0.753,,300,19.7,12.9,0.039464,7800,,,,,,0.004099,0.18645,0.289095
uniform,1,27,8100,0.7435,,300,17.9,16.3,0.053809,8100,,,,,,-0.027739,0.21816,0.337133
uniform,1,28,8400,0.734,,300,13.7,13.7,0.041573,8400,,,,,,-0.01196,0.199721,0.294246
uniform,1,29,8700,0.7245,,300,17.7,20.5,0.032062,8700,,,,,,-0.007275,0.160866,0.267242
uniform,1,30,9000,0.715,,300,14.5,13.7,0.026023,9000,,,,,,-0.004871,0.137879,0.243949
uniform,1,31,9300,0.7055,,300,15.5,15.7,0.058063,9300,,,,,,0.029605,0.242345,0.346199
uniform,1,32,9600,0.696,,300,20.9,17.5,0.032746,9600,,,,,,0.005565,0.169135,0.261035
uniform,1,33,9900,0.6865,,300,17.5,16.5,0.026674,9900,,,,,,0.001423,0.144145,0.239192
uniform,1,34,10200,0.677,,300,20.3,20.3,0.043564,10200,,,,,,-0.026208,0.19932,0.30308
uniform,1,35,10500,0.6675,,300,25.7,23.7,0.030425,10500,,,,,,-0.009004,0.160331,0.259885
uniform,1,36,10800,0.658,,300,25.7,18.7,0.023217,10800,,,,,,-0.003913,0.131589,0.223538
uniform,1,37,11100,0.6485,,300,19.7,21.1,0.035861,11100,,,,,,0.015766,0.170199,0.276356
uniform,1,38,11400,0.639,,300,13.7,22.9,0.036498,11400,,,,,,0.008289,0.178293,0.281588
uniform,1,39,11700,0.6295,,300,19.9,19.9,0.028632,11700,,,,,,0.002012,0.147606,0.249937
uniform,1,40,12000,0.62,,300,25.9,16.7,0.022199,12000,,,,,,-0.000242,0.126525,0.21826
uniform,1,41,12300,0.6105,,300,18.9,21.3,0.041457,12300,,,,,,-0.024127,0.200163,0.293109
uniform,1,42,12600,0.601,,300,22.5,21.7,0.024353,12600,,,,,,-0.005904,0.140902,0.227438
uniform,1,43,12900,0.5915,,300,19.9,19.5,0.020059,12900,,,,,,-0.004215,0.121119,0.210365
uniform,1,44,13200,0.582,,300,22.1,23.5,0.037887,13200,,,,,,0.020538,0.185201,0.280005
uniform,1,45,13500,0.5725,,300,24.3,26.5,0.026399,13500,,,,,,0.005385,0.153216,0.235637
uniform,1,46,13800,0.563,,300,18.9,20.5,0.020212,13800,,,,,,0.002893,0.125939,0.206958
uniform,1,47,14100,0.5535,,300,25.9,23.9,0.031451,14100,,,,,,-0.01637,0.159037,0.257034
uniform,1,48,14319,0.546565,1.0,219,131.3,24.71,0.027259,14319,,,,,,-0.009552,0.161638,0.235869
uniform,1,49,14619,0.537065,,300,25.3,20.1,0.031663,14619,,,,,,0.006197,0.144384,1.066108
uniform,1,50,14919,0.527565,,300,22.1,21.5,0.027388,14919,,,,,,0.007803,0.125203,1.057429
uniform,1,51,15219,0.518065,,300,22.9,28.3,0.052077,15219,,,,,,0.033685,0.197744,1.291353
uniform,1,52,15512,0.508787,1.0,293,130.93,24.14,0.030366,15512,,,,,,0.010726,0.153753,0.768988
uniform,1,53,15812,0.499287,,300,26.1,28.1,0.02525,15812,,,,,,0.007872,0.131632,0.769782
uniform,1,54,16112,0.489787,,300,26.3,26.5,0.045144,16112,,,,,,0.000557,0.172736,1.288952
uniform,1,55,16412,0.480287,,300,23.3,20.3,0.037122,16412,,,,,,0.001506,0.166513,1.076826
uniform,1,56,16712,0.470787,,300,21.1,28.7,0.03022,16712,,,,,,0.006094,0.136601,1.065632
