episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,300,0.9905,,300,5.7,12.9,1.864689,300,prioritized,0.6,0.404,1.122851,6.025778,1.002863,-3.473086,5.053751,5.488738
2,600,0.981,,300,7.3,5.5,0.777288,600,prioritized,0.6,0.408,0.982051,4.349902,0.784082,-0.632215,2.817407,3.759357
3,900,0.9715,,300,4.9,5.5,0.611905,900,prioritized,0.6,0.412,0.838541,6.201308,0.720517,-0.415119,2.2999,3.122357
4,1200,0.962,,300,10.9,7.1,1.169375,1200,prioritized,0.6,0.416,1.497017,6.201308,1.093311,0.43783,3.671844,4.567953
5,1500,0.9525,,300,8.5,10.3,1.312485,1500,prioritized,0.6,0.42,1.3687,6.201308,1.024793,0.161968,3.998352,4.781482
6,1800,0.943,,300,10.1,4.5,1.061782,1800,prioritized,0.6,0.424,1.175853,6.201308,0.926835,0.139217,3.380142,4.129679
7,2100,0.9335,,300,8.7,16.9,0.832991,2100,prioritized,0.6,0.428,0.993068,6.201308,0.765918,-0.207247,2.867346,3.716056
8,2400,0.924,,300,2.9,7.7,0.466023,2400,prioritized,0.6,0.432,0.827616,6.201308,0.607887,-0.265053,1.776035,2.21822
9,2700,0.9145,,300,6.3,8.9,0.327186,2700,prioritized,0.6,0.436,0.711718,6.201308,0.55583,-0.114457,1.377759,1.757414
10,3000,0.905,,300,10.7,6.9,0.245212,3000,prioritized,0.6,0.44,0.596365,6.201308,0.491466,-0.13407,1.135806,1.551557
11,3300,0.8955,,300,9.5,11.1,0.307781,3300,prioritized,0.6,0.444,0.683241,6.201308,0.51051,0.159321,1.283632,1.606655
12,3600,0.886,,300,10.7,9.5,0.192692,3600,prioritized,0.6,0.448,0.601918,6.201308,0.453325,0.014344,0.966272,1.21388
13,3900,0.8765,,300,8.3,11.7,0.136656,3900,prioritized,0.6,0.452,0.51722,6.201308,0.40822,-0.002967,0.768402,0.999368
14,4200,0.867,,300,17.1,17.9,0.13965,4200,prioritized,0.6,0.456,0.494566,6.201308,0.353921,-0.159079,0.749037,0.965272
15,4500,0.8575,,300,13.1,10.9,0.070297,4500,prioritized,0.6,0.46,0.429514,6.201308,0.321354,-0.046427,0.521811,0.653965
16,4800,0.848,,300,10.3,8.1,0.043911,4800,prioritized,0.6,0.464,0.382161,6.201308,0.303037,-0.017859,0.407548,0.511285
17,5100,0.8385,,300,13.1,7.7,0.070622,5100,prioritized,0.6,0.468,0.48147,6.201308,0.400681,0.088869,0.488126,0.655105
18,5400,0.829,,300,11.7,9.1,0.07642,5400,prioritized,0.6,0.472,0.436211,6.201308,0.313646,0.041305,0.571698,0.714613
19,5700,0.8195,,300,10.7,9.1,0.049482,5700,prioritized,0.6,0.476,0.390248,6.201308,0.300122,0.009582,0.448667,0.580585
20,6000,0.81,,300,11.5,11.1,0.037226,6000,prioritized,0.6,0.48,0.350795,6.201308,0.298031,-0.000504,0.378709,0.501888
21,6300,0.8005,,300,17.7,16.7,0.060578,6300,prioritized,0.6,0.484,0.365442,6.201308,0.312768,-0.104748,0.47487,0.629001
22,6600,0.791,,300,11.7,11.9,0.02801,6600,prioritized,0.6,0.488,0.314048,6.201308,0.251016,-0.017576,0.333032,0.446147
23,6900,0.7815,,300,19.1,15.5,0.019523,6900,prioritized,0.6,0.492,0.272858,6.201308,0.229587,-0.007653,0.272659,0.373225
24,7200,0.772,,300,20.1,17.5,0.038464,7200,prioritized,0.6,0.496,0.331844,6.201308,0.308165,0.040759,0.378185,0.519066
25,7500,0.7625,,300,13.1,23.9,0.026729,7500,prioritized,0.6,0.5,0.305832,6.201308,0.276239,0.013141,0.332076,0.44731
26,7800,0.753,,300,12.3,17.3,0.019289,7800,prioritized,0.6,0.504,0.275002,6.201308,0.264678,0.004687,0.276914,0.381367
27,8100,0.7435,,300,13.3,22.5,0.024806,8100,prioritized,0.6,0.508,0.291988,6.201308,0.287076,-0.035585,0.298439,0.433575
28,8400,0.734,,300,15.7,20.5,0.020105,8400,prioritized,0.6,0.512,0.259148,6.201308,0.260896,-0.01926,0.276694,0.390697
29,8700,0.7245,,300,19.3,15.1,0.01367,8700,prioritized,0.6,0.516,0.225224,6.201308,0.196496,-0.008196,0.227471,0.342466
30,9000,0.715,,300,18.1,15.3,0.011012,9000,prioritized,0.6,0.52,0.204965,6.201308,0.201273,-0.017556,0.202756,0.360679
31,9300,0.7055,,300,15.3,20.5,0.026107,9300,prioritized,0.6,0.524,0.258866,6.201308,0.251482,0.030282,0.325393,0.457472
32,9600,0.696,,300,19.5,17.3,0.015221,9600,prioritized,0.6,0.528,0.233535,6.201308,0.196013,-0.004946,0.248741,0.37252
33,9900,0.6865,,300,24.3,18.1,0.010855,9900,prioritized,0.6,0.532,0.210343,6.201308,0.207738,0.004166,0.204394,0.320348
34,10200,0.677,,300,23.3,19.9,0.018397,10200,prioritized,0.6,0.536,0.239552,6.201308,0.251525,-0.030495,0.261786,0.390189
35,10500,0.6675,,300,22.7,16.9,0.012663,10500,prioritized,0.6,0.54,0.217576,6.201308,0.240953,-0.013094,0.220234,0.338806
36,10800,0.658,,300,19.7,22.9,0.009762,10800,prioritized,0.6,0.544,0.195604,6.201308,0.189415,-0.015633,0.197779,0.324312
37,11100,0.6485,,300,23.7,22.5,0.013436,11100,prioritized,0.6,0.548,0.227278,6.201308,0.251929,0.013479,0.220372,0.341027
38,11400,0.639,,300,20.5,16.5,0.013607,11400,prioritized,0.6,0.552,0.219933,6.201308,0.22903,-0.00288,0.244646,0.366986
39,11700,0.6295,,300,23.9,21.3,0.010781,11700,prioritized,0.6,0.556,0.205703,6.201308,0.225504,-0.006182,0.213899,0.349639
40,12000,0.62,,300,25.1,15.1,0.008983,12000,prioritized,0.6,0.56,0.189131,6.201308,0.217309,-0.016609,0.192777,0.344874
41,12300,0.6105,,300,20.5,25.5,0.01634,12300,prioritized,0.6,0.564,0.215771,6.201308,0.230738,-0.036427,0.26205,0.405155
42,12600,0.601,,300,23.7,28.3,0.009479,12600,prioritized,0.6,0.568,0.196581,6.201308,0.21535,-0.014546,0.195622,0.31264
43,12900,0.5915,,300,23.7,22.9,0.008119,12900,prioritized,0.6,0.572,0.181882,6.201308,0.209753,-0.016025,0.181365,0.331737
