replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,1,400,0.905,,400,6.2,4.0,0.025918,400,,,,,,0.010062,0.083172,0.257335
uniform,1,2,800,0.81,,400,16.0,13.4,0.10736,800,,,,,,0.056695,0.306179,0.490602
uniform,1,3,1200,0.715,,400,18.8,10.2,0.1232,1200,,,,,,0.055624,0.338533,0.550943
uniform,1,4,1600,0.62,,400,22.0,18.6,0.136135,1600,,,,,,0.04423,0.366394,0.585656
uniform,1,5,2000,0.525,,400,17.2,25.0,0.144787,2000,,,,,,0.040804,0.38489,0.628648
uniform,1,6,2400,0.43,,400,20.0,20.8,0.159308,2400,,,,,,0.037284,0.412106,0.670526
uniform,1,7,2799,0.335238,1.0,399,130.4,28.21,0.182811,2799,,,,,,0.023358,0.45617,0.698854
uniform,1,8,3015,0.283937,-1.0,216,28.72,131.32,0.206967,3015,,,,,,0.03671,0.493449,1.546696
uniform,1,9,3408,0.1906,1.0,393,130.43,28.24,0.199654,3408,,,,,,0.05608,0.467501,2.003061
uniform,1,10,3666,0.129325,-1.0,258,28.91,131.11,0.248489,3666,,,,,,0.10044,0.522662,2.896922
uniform,1,11,3919,0.069238,1.0,253,131.13,28.74,0.265257,3919,,,,,,0.12316,0.538193,3.350457
uniform,1,12,4148,0.05,1.0,229,131.25,25.86,0.316166,4148,,,,,,0.170989,0.592469,3.897209
uniform,1,13,4437,0.05,1.0,289,130.95,28.56,0.328782,4437,,,,,,0.199974,0.593518,4.252437
uniform,1,14,4651,0.05,-1.0,214,28.93,131.33,0.323194,4651,,,,,,0.170174,0.602276,3.930699
uniform,1,15,4826,0.05,1.0,175,131.52,24.13,0.273933,4826,,,,,,0.117913,0.549318,3.228632
uniform,1,16,5011,0.05,1.0,185,131.47,26.68,0.340346,5011,,,,,,0.191988,0.615535,4.19662
uniform,1,17,5151,0.05,-1.0,140,27.1,131.7,0.317407,5151,,,,,,0.179386,0.576879,4.176644
uniform,1,18,5371,0.05,-1.0,220,26.3,131.3,0.34131,5371,,,,,,0.197413,0.617337,4.204733
uniform,1,19,5494,0.05,1.0,123,131.78,23.19,0.339826,5494,,,,,,0.214275,0.601555,4.413949
uniform,1,20,5673,0.05,1.0,179,131.5,26.51,0.310982,5673,,,,,,0.159865,0.579256,3.892668
uniform,1,21,5829,0.05,-1.0,156,26.42,131.62,0.328462,5829,,,,,,0.200862,0.585885,4.329941
uniform,1,22,6001,0.05,-1.0,172,29.14,131.54,0.336728,6001,,,,,,0.230807,0.58624,4.53188
uniform,1,23,6311,0.05,-1.0,310,28.65,130.85,0.427535,6311,,,,,,0.28175,0.692284,5.160046
uniform,1,24,6496,0.05,1.0,185,131.47,26.88,0.431762,6496,,,,,,0.278372,0.705468,5.031545
uniform,1,25,6641,0.05,1.0,145,131.67,26.88,0.437057,6641,,,,,,0.275461,0.711716,5.02621
uniform,1,26,6865,0.05,-1.0,224,29.08,131.28,0.437983,6865,,,,,,0.28637,0.714836,5.036411
uniform,1,27,7166,0.05,1.0,301,130.89,28.5,0.425659,7166,,,,,,0.291878,0.685599,5.161316
uniform,1,28,7393,0.05,1.0,227,131.26,26.67,0.515095,7393,,,,,,0.37238,0.779433,5.847788
uniform,1,29,7577,0.05,-1.0,184,26.68,131.48,0.414986,7577,,,,,,0.286286,0.670512,5.092081
uniform,1,30,7774,0.05,1.0,197,131.41,24.02,0.496279,7774,,,,,,0.345105,0.768483,5.503788
uniform,1,31,7957,0.05,1.0,183,131.48,25.89,0.37006,7957,,,,,,0.222469,0.632105,4.502661
uniform,1,32,8200,0.05,1.0,243,131.18,28.79,0.46352,8200,,,,,,0.312177,0.737359,5.205978
uniform,1,33,8368,0.05,-1.0,168,28.96,131.56,0.448894,8368,,,,,,0.308243,0.709849,5.277729
uniform,1,34,8502,0.05,-1.0,134,26.93,131.73,0.584413,8502,,,,,,0.381508,0.87934,5.809618
uniform,1,35,8713,0.05,1.0,211,131.34,28.95,0.549913,8713,,,,,,0.357653,0.834302,5.681834
uniform,1,36,8841,0.05,-1.0,128,26.76,131.76,0.447413,8841,,,,,,0.271806,0.732941,4.864046
uniform,1,37,9039,0.05,-1.0,198,26.41,131.41,0.573149,9039,,,,,,0.403307,0.84836,6.009783
uniform,1,38,9180,0.05,1.0,141,131.69,29.5,0.447279,9180,,,,,,0.297718,0.719025,5.099414
uniform,1,39,9424,0.05,-1.0,244,26.58,131.18,0.512516,9424,,,,,,0.34441,0.790825,5.536103
uniform,1,40,9686,0.05,-1.0,262,25.89,131.09,0.4228,9686,,,,,,0.252502,0.695861,4.782222
uniform,1,41,9950,0.05,-1.0,264,28.48,131.08,0.551517,9950,,,,,,0.361101,0.828632,5.754005
uniform,1,42,10350,0.05,,400,27.8,22.6,0.552465,10000,,,,,,0.358611,0.837867,5.612862
uniform,1,43,10531,0.05,1.0,181,131.49,26.5,0.404132,10000,,,,,,0.203691,0.687611,4.314784
uniform,1,44,10768,0.05,1.0,237,131.21,24.42,0.414417,10000,,,,,,0.250046,0.685844,4.671265
uniform,1,45,10991,0.05,1.0,223,131.28,29.09,0.539884,10000,,,,,,0.359517,0.823399,5.615885
uniform,1,46,11363,0.05,-1.0,372,26.14,130.54,0.495475,10000,,,,,,0.311432,0.775383,5.244532
uniform,1,47,11763,0.05,,400,23.2,22.6,0.591199,10000,,,,,,0.414147,0.873808,5.957675
uniform,1,48,12163,0.05,,400,27.8,23.4,0.518589,10000,,,,,,0.352967,0.797441,5.400088
uniform,1,49,12563,0.05,,400,20.4,18.0,0.556751,10000,,,,,,0.372372,0.838386,5.65761
uniform,1,50,12796,0.05,1.0,233,131.23,26.44,0.526144,10000,,,,,,0.361377,0.797721,5.677521
uniform,1,51,13196,0.05,,400,23.0,17.4,0.476926,10000,,,,,,0.294394,0.758913,5.041978
uniform,1,52,13596,0.05,,400,22.6,22.8,0.539047,10000,,,,,,0.360938,0.817891,5.607684
uniform,1,53,13996,0.05,,400,18.6,18.2,0.553487,10000,,,,,,0.353049,0.838507,5.541049
uniform,1,54,14396,0.05,,400,15.0,15.2,0.589482,10000,,,,,,0.363626,0.884687,5.60596
uniform,1,55,14796,0.05,,400,17.0,11.0,0.501807,10000,,,,,,0.271041,0.789147,5.052414
uniform,1,56,15196,0.05,,400,14.2,18.0,0.45285,10000,,,,,,0.249566,0.739245,4.654399
uniform,1,57,15596,0.05,,400,20.2,13.2,0.471531,10000,,,,,,0.228956,0.760841,4.671264
uniform,1,58,15996,0.05,,400,11.2,12.4,0.518697,10000,,,,,,0.232883,0.831038,4.493837
uniform,1,59,16396,0.05,,400,14.8,15.0,0.477427,10000,,,,,,0.185496,0.787591,4.081295
uniform,1,60,16796,0.05,,400,14.8,18.0,0.486272,10000,,,,,,0.198022,0.792522,4.484939
uniform,1,61,17196,0.05,,400,12.6,12.6,0.504463,10000,,,,,,0.158759,0.818193,4.30225
uniform,1,62,17596,0.05,,400,12.6,14.6,0.481177,10000,,,,,,0.152082,0.796483,4.1679
uniform,1,63,17996,0.05,,400,11.6,12.2,0.516471,10000,,,,,,0.115316,0.8402,4.080909
uniform,1,64,18396,0.05,,400,12.6,12.6,0.514458,10000,,,,,,0.123947,0.846162,3.650798
uniform,1,65,18796,0.05,,400,10.4,15.2,0.470556,10000,,,,,,0.103029,0.800071,3.628866
uniform,1,66,19196,0.05,,400,11.6,7.4,0.556584,10000,,,,,,0.077178,0.909099,3.244778
uniform,1,67,19596,0.05,,400,12.6,8.8,0.523486,10000,,,,,,0.008998,0.876742,2.89708
uniform,1,68,19996,0.05,,400,9.0,15.6,0.482005,10000,,,,,,0.032963,0.822729,2.961492
uniform,1,69,20396,0.05,,400,11.2,7.4,0.484922,10000,,,,,,0.004555,0.819888,3.245275
uniform,1,70,20796,0.05,,400,7.8,6.0,0.458438,10000,,,,,,-0.001443,0.795043,2.990293
uniform,1,71,21196,0.05,,400,9.2,8.6,0.458448,10000,,,,,,-0.06157,0.793697,2.955106
uniform,1,72,21596,0.05,,400,6.4,9.0,0.619947,10000,,,,,,-0.040893,0.982486,3.105965
uniform,1,73,21996,0.05,,400,7.6,11.2,0.579397,10000,,,,,,-0.070233,0.944708,2.940092
uniform,1,74,22396,0.05,,400,8.0,9.0,0.732484,10000,,,,,,-0.00929,1.10519,3.334262
uniform,1,75,22796,0.05,,400,6.8,7.0,0.772738,10000,,,,,,-0.088335,1.162169,3.207019
uniform,1,76,23196,0.05,,400,5.8,6.0,0.64241,10000,,,,,,-0.10877,1.015297,3.376027
uniform,1,77,23596,0.05,,400,8.8,5.6,0.618467,10000,,,,,,-0.061266,0.981493,3.382333
uniform,1,78,23996,0.05,,400,5.0,4.4,0.761993,10000,,,,,,-0.082524,1.147967,3.682204
uniform,1,79,24396,0.05,,400,3.4,3.8,0.68779,10000,,,,,,-0.076295,1.0642,3.443857
uniform,1,80,24796,0.05,,400,6.4,8.2,0.735442,10000,,,,,,-0.03947,1.1122,3.814406
uniform,1,81,25196,0.05,,400,11.6,6.6,0.648124,10000,,,,,,-0.093994,1.016785,3.583813
uniform,1,82,25596,0.05,,400,9.8,3.8,0.821258,10000,,,,,,-0.082194,1.205486,4.122126
uniform,1,83,25996,0.05,,400,8.0,11.8,0.703537,10000,,,,,,-0.095956,1.079723,3.773224
uniform,1,84,26396,0.05,,400,5.8,4.0,0.679182,10000,,,,,,-0.112402,1.056311,3.750247
uniform,1,85,26796,0.05,,400,5.4,10.6,0.704101,10000,,,,,,-0.098643,1.079419,3.896029
uniform,1,86,27196,0.05,,400,3.6,4.6,0.704376,10000,,,,,,-0.111463,1.084367,3.787873
uniform,1,87,27596,0.05,,400,6.4,5.8,0.701223,10000,,,,,,-0.080639,1.081585,3.85548
uniform,1,88,27996,0.05,,400,5.6,5.0,0.7718,10000,,,,,,-0.090082,1.159783,3.973048
uniform,1,89,28396,0.05,,400,4.6,12.8,0.78068,10000,,,,,,-0.138758,1.165861,4.423452
uniform,1,90,28796,0.05,,400,8.6,5.4,0.889707,10000,,,,,,-0.162047,1.283974,4.83167
uniform,1,91,29196,0.05,,400,4.4,8.6,0.795512,10000,,,,,,-0.155256,1.175203,4.797624
uniform,1,92,29596,0.05,,400,3.6,7.2,0.893888,10000,,,,,,-0.089821,1.28836,4.710694
uniform,1,93,29996,0.05,,400,8.4,5.4,1.153064,10000,,,,,,-0.043792,1.561397,5.210334
uniform,1,94,30396,0.05,,400,8.2,14.2,1.016058,10000,,,,,,-0.166253,1.415412,5.489038
uniform,1,95,30796,0.05,,400,5.2,8.4,0.925255,10000,,,,,,-0.145053,1.318612,5.161295
uniform,1,96,31196,0.05,,400,7.6,7.8,1.018737,10000,,,,,,-0.164421,1.417591,5.458089
uniform,1,97,31596,0.05,,400,10.8,8.6,1.107736,10000,,,,,,-0.088179,1.516329,5.318277
uniform,1,98,31996,0.05,,400,7.0,9.2,0.984551,10000,,,,,,-0.189349,1.381366,5.526705
uniform,1,99,32396,0.05,,400,5.4,8.4,1.060574,10000,,,,,,-0.177786,1.467585,5.367616
uniform,1,100,32796,0.05,,400,6.4,11.2,0.998342,10000,,,,,,-0.199444,1.398974,5.472688
uniform,1,101,33196,0.05,,400,12.0,9.0,0.997458,10000,,,,,,-0.157029,1.400569,5.278019
uniform,1,102,33596,0.05,,400,4.8,10.0,1.053476,10000,,,,,,-0.214642,1.455624,5.889609
uniform,1,103,33996,0.05,,400,8.2,4.0,1.149911,10000,,,,,,-0.143303,1.5663,5.395123
uniform,1,104,34396,0.05,,400,5.8,8.0,1.134933,10000,,,,,,-0.154929,1.538891,6.006105
uniform,1,105,34796,0.05,,400,3.8,7.0,1.2899,10000,,,,,,-0.113477,1.708526,5.632576
uniform,1,106,35196,0.05,,400,6.4,12.4,1.488665,10000,,,,,,-0.065862,1.91899,5.737542
uniform,1,107,35596,0.05,,400,13.4,5.6,1.306829,10000,,,,,,-0.049778,1.717386,6.05875
uniform,1,108,35996,0.05,,400,5.4,4.8,1.144527,10000,,,,,,-0.233369,1.549493,6.402976
uniform,1,109,36396,0.05,,400,7.8,8.0,1.040763,10000,,,,,,-0.246754,1.441487,6.265057
uniform,1,110,36796,0.05,,400,4.6,3.4,1.075005,10000,,,,,,-0.21503,1.480986,6.167018
uniform,1,111,37196,0.05,,400,11.0,10.0,1.288644,10000,,,,,,-0.249174,1.702255,6.903341
uniform,1,112,37596,0.05,,400,8.6,7.4,1.184985,10000,,,,,,-0.237219,1.600471,6.228786
uniform,1,113,37996,0.05,,400,7.0,10.4,1.022809,10000,,,,,,-0.266755,1.419689,6.464097
uniform,1,114,38396,0.05,,400,10.4,4.6,1.05875,10000,,,,,,-0.193172,1.468047,5.743386
uniform,1,115,38796,0.05,,400,4.2,8.0,1.062776,10000,,,,,,-0.163138,1.471696,5.649992
uniform,1,116,39196,0.05,,400,8.2,4.8,1.164932,10000,,,,,,-0.205147,1.573271,6.504601
uniform,1,117,39596,0.05,,400,5.0,3.8,1.083172,10000,,,,,,-0.161696,1.491046,6.06623
uniform,1,118,39996,0.05,,400,7.4,8.8,1.210271,10000,,,,,,-0.347439,1.616687,7.460692
uniform,1,119,40396,0.05,,400,7.8,4.0,1.171806,10000,,,,,,-0.227122,1.578825,6.973991
uniform,1,120,40796,0.05,,400,8.6,10.2,1.222382,10000,,,,,,-0.16275,1.638774,6.344637
uniform,1,121,41196,0.05,,400,8.4,3.8,1.256586,10000,,,,,,-0.242638,1.671227,7.150199
uniform,1,122,41596,0.05,,400,4.6,5.6,1.356763,10000,,,,,,-0.307364,1.771543,8.024624
uniform,1,123,41996,0.05,,400,8.6,5.6,1.267843,10000,,,,,,-0.288673,1.683383,7.383093
uniform,1,124,42396,0.05,,400,7.6,4.4,1.164624,10000,,,,,,-0.274033,1.571479,7.169372
uniform,1,125,42796,0.05,,400,3.6,10.4,1.213697,10000,,,,,,-0.305725,1.62499,7.249174
uniform,1,126,43196,0.05,,400,11.4,8.6,1.290678,10000,,,,,,-0.261123,1.707216,7.343177
uniform,1,127,43596,0.05,,400,8.6,9.2,1.35678,10000,,,,,,-0.283339,1.771271,8.059633
uniform,1,128,43996,0.05,,400,8.0,13.6,1.235285,10000,,,,,,-0.246604,1.648108,7.386
