episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,400,0.905,,400,12.4,8.8,0.018508,400,prioritized,0.6,0.44,0.111726,1.54378,0.129778,0.02764,0.194067,0.450667
2,800,0.81,,400,13.6,10.0,0.050158,800,prioritized,0.6,0.48,0.252967,1.426656,0.204179,0.132527,0.461504,0.657007
3,1200,0.715,,400,12.0,11.6,0.059764,1200,prioritized,0.6,0.52,0.319331,2.717938,0.249014,0.097342,0.518968,0.707854
4,1600,0.62,,400,15.2,23.2,0.034153,1600,prioritized,0.6,0.56,0.275157,3.158908,0.23156,0.056786,0.385346,0.581068
5,2000,0.525,,400,25.2,27.8,0.038348,2000,prioritized,0.6,0.6,0.31282,3.163377,0.261535,0.019348,0.430381,0.610036
6,2400,0.43,,400,25.0,26.0,0.043699,2400,prioritized,0.6,0.64,0.351726,4.788133,0.304044,0.034775,0.503095,0.771801
7,2800,0.335,,400,27.6,25.4,0.045527,2800,prioritized,0.6,0.68,0.36022,4.788133,0.3135,0.001071,0.538694,0.805314
8,3100,0.26375,-1,300,25.1,130.9,0.041474,3100,prioritized,0.6,0.71,0.357492,5.10325,0.319657,-0.022184,0.543226,0.924625
9,3321,0.211263,1,221,131.29,25.9,0.063438,3321,prioritized,0.6,0.7321,0.381545,15.396718,0.540169,1.203444,1.769942,10.807219
10,3557,0.155213,-1,236,26.62,131.22,0.063541,3557,prioritized,0.6,0.7557,0.358396,15.279779,0.516792,2.024548,2.531339,13.764501
11,3766,0.105575,1,209,131.35,23.96,0.079537,3766,prioritized,0.6,0.7766,0.385564,15.396718,0.620892,2.630884,3.181865,15.491822
12,3979,0.054987,1,213,131.33,28.74,0.075064,3979,prioritized,0.6,0.7979,0.376487,15.334241,0.599142,3.548427,4.092652,17.922974
13,4197,0.05,-1,218,25.91,131.31,0.093241,4197,prioritized,0.6,0.8197,0.398606,15.299248,0.637179,4.294758,4.858199,19.554829
14,4429,0.05,-1,232,28.44,131.24,0.087885,4429,prioritized,0.6,0.8429,0.414383,15.396718,0.706653,5.006916,5.520032,20.993847
15,4571,0.05,-1,142,23.69,131.69,0.083666,4571,prioritized,0.6,0.8571,0.380861,15.396718,0.686558,5.312382,5.827315,21.537949
16,4713,0.05,-1,142,26.69,131.69,0.078426,4713,prioritized,0.6,0.8713,0.384889,15.396718,0.74358,6.008467,6.501098,22.796576
17,4927,0.05,-1,214,28.93,131.33,0.08217,4927,prioritized,0.6,0.8927,0.411557,15.21127,0.733116,6.287063,6.849819,23.294607
