episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
1,400,0.905,,400,6.4,6.0,0.026664,400,uniform,nan,nan,nan,nan,nan,0.008265,0.08453,0.258416
2,800,0.81,,400,13.8,10.8,0.093924,800,uniform,nan,nan,nan,nan,nan,0.055039,0.280482,0.453586
3,1200,0.715,,400,19.0,9.8,0.087923,1200,uniform,nan,nan,nan,nan,nan,0.04263,0.286164,0.445214
4,1600,0.62,,400,14.4,17.2,0.096117,1600,uniform,nan,nan,nan,nan,nan,0.028597,0.304266,0.474748
5,2000,0.525,,400,22.8,17.8,0.101015,2000,uniform,nan,nan,nan,nan,nan,0.0288,0.315013,0.510204
6,2400,0.43,,400,22.6,22.0,0.158198,2400,uniform,nan,nan,nan,nan,nan,0.030255,0.416594,0.611276
7,2800,0.335,,400,24.4,28.0,0.133792,2800,uniform,nan,nan,nan,nan,nan,0.017211,0.382791,0.592223
8,3037,0.278713,1,237,131.21,23.62,0.146929,3037,uniform,nan,nan,nan,nan,nan,0.013758,0.408611,0.596886
9,3274,0.222425,1,237,131.21,24.02,0.165131,3274,uniform,nan,nan,nan,nan,nan,0.051035,0.412638,1.936036
10,3472,0.1754,-1,198,25.81,131.41,0.1726,3472,uniform,nan,nan,nan,nan,nan,0.056541,0.42059,2.248619
11,3696,0.1222,-1,224,28.48,131.28,0.182016,3696,uniform,nan,nan,nan,nan,nan,0.068334,0.433846,2.379868
12,3839,0.088238,1,143,131.68,29.49,0.230308,3839,uniform,nan,nan,nan,nan,nan,0.120943,0.474569,3.416771
13,4239,0.05,,400,26.4,28.2,0.212416,4239,uniform,nan,nan,nan,nan,nan,0.094389,0.461944,2.950622
14,4430,0.05,1,191,131.44,23.85,0.204698,4430,uniform,nan,nan,nan,nan,nan,0.086339,0.456399,2.836034
15,4573,0.05,1,143,131.68,28.89,0.255696,4573,uniform,nan,nan,nan,nan,nan,0.127606,0.509264,3.512241
16,4736,0.05,1,163,131.58,29.39,0.256601,4736,uniform,nan,nan,nan,nan,nan,0.1487,0.499397,3.748652
17,5122,0.05,-1,386,28.07,130.47,0.243635,5122,uniform,nan,nan,nan,nan,nan,0.117027,0.501699,3.318776
18,5245,0.05,1,123,131.78,29.59,0.308962,5245,uniform,nan,nan,nan,nan,nan,0.178894,0.570129,4.07403
19,5449,0.05,-1,204,28.58,131.38,0.3132,5449,uniform,nan,nan,nan,nan,nan,0.190767,0.568732,4.221249
